"","mean","se_mean","sd","5%","95%","n_eff","Rhat","politician_id_numeric","fullname"
"alpha[434,13]",0.123052933456082,0.110360378423163,1.05197122072703,-1.56195415084223,1.99155310736691,90.8618040800697,1.02041417293394,434,"Erik Paulsen"
"alpha[434,14]",0.118740878903988,0.0550920416881944,0.942512551711923,-1.42028810739097,1.70583898432651,292.682361314063,1.00440701228338,434,"Erik Paulsen"
"alpha[434,15]",0.119166628366011,0.0487256498556624,0.973871445621349,-1.52892516612526,1.68675289479975,399.473509071804,1.00221631966729,434,"Erik Paulsen"
"alpha[434,16]",1.08424378933754,0.0455160912092985,0.520054866687262,0.371642565174331,2.00182022237854,130.547455581504,1.01675513691765,434,"Erik Paulsen"
"alpha[434,17]",0.850946564843793,0.0357817599677555,0.611478185785879,-0.0376255496582672,2.01886730883973,292.037445333108,1.01918642581527,434,"Erik Paulsen"
"alpha[434,18]",0.448012719070895,0.0508601571118007,0.756838944198672,-0.760956012917834,1.76493481949253,221.437692670423,1.02329346521369,434,"Erik Paulsen"
"alpha[434,19]",0.828265501352279,0.0434468354189463,0.613968888585484,0.0326098352015657,1.98810313204668,199.699249226383,1.0086782483387,434,"Erik Paulsen"
"alpha[434,20]",0.547499633964453,0.0603933629765091,0.866048156650899,-0.822358005730674,2.05299049382744,205.639081678167,1.02024838647767,434,"Erik Paulsen"
"alpha[434,21]",-0.14354759015315,0.192991001311658,1.04024832221805,-1.77484726505393,1.78624690532759,29.0535984057516,1.05093686882526,434,"Erik Paulsen"
"alpha[434,22]",0.480691773475299,0.0646600210285088,0.895980177620516,-1.05169508619901,1.93006652533629,192.010562598773,1.000657611437,434,"Erik Paulsen"
"alpha[434,23]",0.187533761969029,0.0544706001912477,0.951872426020909,-1.41535193882411,1.73079318609926,305.374782975271,1.00058370615299,434,"Erik Paulsen"
"alpha[434,24]",0.575131658206885,0.0585060609921083,0.431459321020947,0.000232527295697466,1.43092073795546,54.3848571652435,1.03986985697812,434,"Erik Paulsen"
"alpha[434,25]",0.506960370201564,0.0538944011812609,0.708255821809588,-0.63330287975026,1.73355930361016,172.70026518497,1.01018092921926,434,"Erik Paulsen"
